date_in_db,method_in_db,method_in_table,date_start_table,date_end_table
2013-10-15,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-10-16,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-10-17,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-10-18,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-10-19,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-10-20,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-10-21,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-10-22,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-10-23,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-10-24,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-10-25,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-10-26,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-10-27,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-10-28,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-10-29,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-10-30,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-10-31,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-11-01,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-11-02,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-11-03,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-11-04,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-11-05,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-11-06,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-11-07,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-11-08,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-11-09,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-11-10,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-11-11,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-11-12,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-11-13,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-11-14,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-11-15,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-11-16,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-11-17,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-11-18,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-11-19,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-11-20,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-11-21,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-11-22,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-11-23,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-11-24,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-11-25,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-11-26,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-11-27,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-11-28,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-11-29,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-11-30,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-12-01,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-12-02,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-12-03,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-12-04,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-12-05,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-12-06,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-12-07,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-12-08,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-12-09,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-12-10,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-12-11,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-12-12,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-12-13,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-12-14,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-12-15,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-12-16,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-12-17,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-12-18,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-12-19,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-12-20,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-12-21,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-12-22,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-12-23,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-12-24,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-12-25,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-12-26,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-12-27,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-12-28,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-12-29,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-12-30,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-12-31,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2014-01-01,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2014-01-02,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2014-01-03,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2014-01-04,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2014-01-05,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2014-01-06,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2014-01-07,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2014-01-08,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2014-01-09,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2014-01-10,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2014-01-11,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2014-01-12,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2014-01-13,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2014-01-14,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2014-01-15,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2014-01-16,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2014-01-17,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2014-01-18,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
